Federal organization,Year,Fiscal year,GHG source,GHG scope,Energy category,Energy use (GJ),Emissions (t),Total annual energy usage,Total  emissions
Agriculture and Agri-Food Canada,2005,FY 2005-06,facilities,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",59955.49569,4271.967786,28759449.48,1797859.78
Agriculture and Agri-Food Canada,2005,FY 2005-06,facilities,1,liquified petroleum gas,1769.303143,107.9541955,,
Agriculture and Agri-Food Canada,2005,FY 2005-06,facilities,1,natural gas,446241.3017,22229.48008,,
Agriculture and Agri-Food Canada,2005,FY 2005-06,facilities,2,district energy,154568,11230.51839,,
Agriculture and Agri-Food Canada,2005,FY 2005-06,facilities,2,electricity,524494.1065,54100.25373,,
Agriculture and Agri-Food Canada,2005,FY 2005-06,fleet,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",41332.3642,2915.521965,,
Agriculture and Agri-Food Canada,2005,FY 2005-06,fleet,1,fuels with renewable content,14431.98297,591.2746769,,
Agriculture and Agri-Food Canada,2005,FY 2005-06,fleet,1,gasoline,73844.05779,4540.532151,,
Agriculture and Agri-Food Canada,2005,FY 2005-06,fleet,1,liquified petroleum gas,68.28638,4.15583732,,
Canada Border Services Agency,2005,FY 2005-06,facilities,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",12691.47159,906.1651174,,
Canada Border Services Agency,2005,FY 2005-06,facilities,1,liquified petroleum gas,2338.66931,142.6941251,,
Canada Border Services Agency,2005,FY 2005-06,facilities,1,natural gas,51557.72212,2576.916065,,
Canada Border Services Agency,2005,FY 2005-06,facilities,2,electricity,108359.9489,5045.51582,,
Canada Border Services Agency,2005,FY 2005-06,fleet,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",5738.1443,410.2928988,,
Canada Border Services Agency,2005,FY 2005-06,fleet,1,fuels with renewable content,865.86792,53.3444706,,
Canada Border Services Agency,2005,FY 2005-06,fleet,1,gasoline,65059.25526,3939.519854,,
Canada Revenue Agency,2005,FY 2005-06,fleet,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",925.9025,66.20454295,,
Canada Revenue Agency,2005,FY 2005-06,fleet,1,gasoline,5469.99394,331.2234308,,
Canadian Food Inspection Agency,2005,FY 2005-06,facilities,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",30850.94883,2207.650349,,
Canadian Food Inspection Agency,2005,FY 2005-06,facilities,1,liquified petroleum gas,486.3823872,29.67665246,,
Canadian Food Inspection Agency,2005,FY 2005-06,facilities,1,natural gas,188363.7204,9406.668423,,
Canadian Food Inspection Agency,2005,FY 2005-06,facilities,2,district energy,10285.4375,917.807785,,
Canadian Food Inspection Agency,2005,FY 2005-06,facilities,2,electricity,117251.5376,14235.03274,,
Canadian Food Inspection Agency,2005,FY 2005-06,fleet,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",720.9590111,50.61538553,,
Canadian Food Inspection Agency,2005,FY 2005-06,fleet,1,fuels with renewable content,5509.270744,338.0634261,,
Canadian Food Inspection Agency,2005,FY 2005-06,fleet,1,gasoline,89176.47495,5905.154352,,
Canadian Security Intelligence Service,2005,FY 2005-06,facilities,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",956.6576233,69.93150711,,
Canadian Security Intelligence Service,2005,FY 2005-06,facilities,1,natural gas,44277.29785,2196.866592,,
Canadian Security Intelligence Service,2005,FY 2005-06,facilities,2,electricity,74155.10547,4737.689575,,
Canadian Space Agency,2005,FY 2005-06,facilities,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",847.4641,61.94949295,,
Canadian Space Agency,2005,FY 2005-06,facilities,1,natural gas,22271.7692,1104.620163,,
Canadian Space Agency,2005,FY 2005-06,facilities,2,electricity,47026.15398,1080.851342,,
Canadian Space Agency,2005,FY 2005-06,fleet,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",5.531165987,0.388318766,,
Correctional Service Canada,2005,FY 2005-06,facilities,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",114577.4871,8339.808061,,
Correctional Service Canada,2005,FY 2005-06,facilities,1,liquified petroleum gas,10118.28806,617.3682749,,
Correctional Service Canada,2005,FY 2005-06,facilities,1,natural gas,1533291.783,76219.25257,,
Correctional Service Canada,2005,FY 2005-06,facilities,2,electricity,725941.5657,52985.46356,,
Correctional Service Canada,2005,FY 2005-06,fleet,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",3023.9765,216.223,,
Correctional Service Canada,2005,FY 2005-06,fleet,1,fuels with renewable content,1804.30913,83.394,,
Correctional Service Canada,2005,FY 2005-06,fleet,1,gasoline,40811.63592,2471.259,,
Correctional Service Canada,2005,FY 2005-06,fleet,1,liquified petroleum gas,1067.17084,64.947,,
Correctional Service Canada,2005,FY 2005-06,fleet,1,Natural gas,0.594244,0.034,,
Employment and Social Development Canada,2005,FY 2005-06,fleet,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",207.1647,14.813,,
Employment and Social Development Canada,2005,FY 2005-06,fleet,1,fuels with renewable content,111.5687,6.873,,
Employment and Social Development Canada,2005,FY 2005-06,fleet,1,gasoline,22994.56608,1392.384,,
Employment and Social Development Canada,2005,FY 2005-06,fleet,1,liquified petroleum gas,2.80941,0.171,,
Environment and Climate Change Canada,2005,FY 2005-06,facilities,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",22072.6655,1613.509257,,
Environment and Climate Change Canada,2005,FY 2005-06,facilities,1,liquified petroleum gas,1696.90895,103.5370571,,
Environment and Climate Change Canada,2005,FY 2005-06,facilities,1,natural gas,188331.3314,9320.132698,,
Environment and Climate Change Canada,2005,FY 2005-06,facilities,2,electricity,108775.7448,5891.915122,,
Environment and Climate Change Canada,2005,FY 2005-06,fleet,1,aviation fuel,2152.01024,152.3915443,,
Environment and Climate Change Canada,2005,FY 2005-06,fleet,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",4571.942238,326.0864853,,
Environment and Climate Change Canada,2005,FY 2005-06,fleet,1,fuels with renewable content,2646.580557,164.2430532,,
Environment and Climate Change Canada,2005,FY 2005-06,fleet,1,gasoline,63512.04543,3931.18792,,
Environment and Climate Change Canada,2005,FY 2005-06,fleet,1,liquified petroleum gas,465.5000014,28.32984086,,
Environment and Climate Change Canada,2005,FY 2005-06,fleet,1,Natural gas,0.08379,0.00478022,,
Fisheries and Oceans Canada,2005,FY 2005-06,facilities,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",109931.4612,7863.309225,,
Fisheries and Oceans Canada,2005,FY 2005-06,facilities,1,liquified petroleum gas,12938.472,789.4420704,,
Fisheries and Oceans Canada,2005,FY 2005-06,facilities,1,natural gas,71471.55015,3584.497053,,
Fisheries and Oceans Canada,2005,FY 2005-06,facilities,2,district energy,19917.5,1175.1325,,
Fisheries and Oceans Canada,2005,FY 2005-06,facilities,2,electricity,309547.034,21409.38001,,
Fisheries and Oceans Canada,2005,FY 2005-06,fleet,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",23271.9226,1664.005659,,
Fisheries and Oceans Canada,2005,FY 2005-06,fleet,1,gasoline,131094.7909,7938.156218,,
Fisheries and Oceans Canada,2005,FY 2005-06,fleet,1,liquified petroleum gas,279.1693,16.9899502,,
Health Canada,2005,FY 2005-06,facilities,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",279.2414331,20.41250315,,
Health Canada,2005,FY 2005-06,facilities,1,natural gas,36154.47568,1793.186444,,
Health Canada,2005,FY 2005-06,facilities,2,district energy,180255.0639,12875.58518,,
Health Canada,2005,FY 2005-06,facilities,2,electricity,110051.615,6094.569535,,
Health Canada,2005,FY 2005-06,fleet,1,gasoline,24031.34485,1590.703865,,
"Immigration, Refugees and Citizenship Canada",2005,FY 2005-06,fleet,1,gasoline,1522.007625,94,,
Indigenous and Northern Affairs Canada,2005,FY 2005-06,facilities,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",15723.65468,1119.274175,,
Indigenous and Northern Affairs Canada,2005,FY 2005-06,facilities,2,electricity,4150.08676,1023.688886,,
Indigenous and Northern Affairs Canada,2005,FY 2005-06,fleet,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",136.19863,9.738571879,,
Indigenous and Northern Affairs Canada,2005,FY 2005-06,fleet,1,fuels with renewable content,55.517363,3.372053196,,
Indigenous and Northern Affairs Canada,2005,FY 2005-06,fleet,1,gasoline,29145.69305,1929.235878,,
"Innovation, Science and Economic Development Canada",2005,FY 2005-06,facilities,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",32.25626278,2.357927334,,
"Innovation, Science and Economic Development Canada",2005,FY 2005-06,facilities,1,natural gas,9956.962438,494.0254665,,
"Innovation, Science and Economic Development Canada",2005,FY 2005-06,facilities,2,electricity,12672.82514,809.6525486,,
"Innovation, Science and Economic Development Canada",2005,FY 2005-06,fleet,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",4205.743931,300.7221113,,
"Innovation, Science and Economic Development Canada",2005,FY 2005-06,fleet,1,fuels with renewable content,1189.377552,75.40288363,,
"Innovation, Science and Economic Development Canada",2005,FY 2005-06,fleet,1,gasoline,22674.87305,1500.913879,,
"Innovation, Science and Economic Development Canada",2005,FY 2005-06,fleet,1,liquified petroleum gas,93.02010264,5.661105686,,
"Innovation, Science and Economic Development Canada",2005,FY 2005-06,fleet,1,Natural gas,0.253729487,0.014475267,,
Library and Archives Canada,2005,FY 2005-06,facilities,1,natural gas,45288.11752,2245.68918,,
Library and Archives Canada,2005,FY 2005-06,facilities,2,electricity,44443.0885,708.5982054,,
National Defence,2005,FY 2005-06,facilities,1,aviation fuel,386973.3868,26580.55009,,
National Defence,2005,FY 2005-06,facilities,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",1305193.883,96234.57209,,
National Defence,2005,FY 2005-06,facilities,1,liquified petroleum gas,48244.3629,2943.634282,,
National Defence,2005,FY 2005-06,facilities,1,natural gas,5807777.175,289837.7229,,
National Defence,2005,FY 2005-06,facilities,2,district energy,54566,4413.768563,,
National Defence,2005,FY 2005-06,facilities,2,electricity,3533818.635,326863.8105,,
National Defence,2005,FY 2005-06,fleet,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",242949.5773,17371.55448,,
National Defence,2005,FY 2005-06,fleet,1,fuels with renewable content,16127.84746,1028.324351,,
National Defence,2005,FY 2005-06,fleet,1,gasoline,408369.0282,24727.88673,,
National Defence,2005,FY 2005-06,fleet,1,liquified petroleum gas,2969.24265,180.7049871,,
National Research Council Canada,2005,FY 2005-06,facilities,1,aviation fuel,3805.5248,261.3950881,,
National Research Council Canada,2005,FY 2005-06,facilities,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",22271.55901,1586.985491,,
National Research Council Canada,2005,FY 2005-06,facilities,1,liquified petroleum gas,5957.82214,363.517071,,
National Research Council Canada,2005,FY 2005-06,facilities,1,natural gas,801864.0028,39788.09004,,
National Research Council Canada,2005,FY 2005-06,facilities,2,district energy,83362.51,6511.179634,,
National Research Council Canada,2005,FY 2005-06,facilities,2,electricity,392800.418,24033.50377,,
National Research Council Canada,2005,FY 2005-06,fleet,1,aviation fuel,13479.16672,931.1830471,,
National Research Council Canada,2005,FY 2005-06,fleet,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",385.28651,27.54903167,,
National Research Council Canada,2005,FY 2005-06,fleet,1,fuels with renewable content,3399.841968,209.4577772,,
National Research Council Canada,2005,FY 2005-06,fleet,1,gasoline,1978.19504,119.785242,,
National Research Council Canada,2005,FY 2005-06,fleet,1,liquified petroleum gas,10.546677,0.641859678,,
Natural Resources Canada,2005,FY 2005-06,facilities,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",3735.590575,266.1176319,,
Natural Resources Canada,2005,FY 2005-06,facilities,1,liquified petroleum gas,577.9082838,35.26112343,,
Natural Resources Canada,2005,FY 2005-06,facilities,1,natural gas,167979.0068,8377.262681,,
Natural Resources Canada,2005,FY 2005-06,facilities,2,district energy,125558.9183,9947.723124,,
Natural Resources Canada,2005,FY 2005-06,facilities,2,electricity,196221.3947,14368.45541,,
Natural Resources Canada,2005,FY 2005-06,fleet,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",1666.11128,119.1314807,,
Natural Resources Canada,2005,FY 2005-06,fleet,1,fuels with renewable content,2541.587167,88.90652537,,
Natural Resources Canada,2005,FY 2005-06,fleet,1,gasoline,25256.77275,1529.368225,,
Natural Resources Canada,2005,FY 2005-06,fleet,1,liquified petroleum gas,146.72207,8.92935098,,
Natural Resources Canada,2005,FY 2005-06,fleet,1,Natural gas,0.09318892,0.005316428,,
Parks Canada,2005,FY 2005-06,facilities,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",85098.63051,6108.707609,,
Parks Canada,2005,FY 2005-06,facilities,1,liquified petroleum gas,55069.73861,3360.085214,,
Parks Canada,2005,FY 2005-06,facilities,1,natural gas,86654.08798,4345.331715,,
Parks Canada,2005,FY 2005-06,facilities,2,electricity,169232.6668,14965.50975,,
Parks Canada,2005,FY 2005-06,fleet,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",55447.1781,3960.069296,,
Parks Canada,2005,FY 2005-06,fleet,1,fuels with renewable content,29211.80078,1799.683314,,
Parks Canada,2005,FY 2005-06,fleet,1,gasoline,88722.50694,5477.050518,,
Parks Canada,2005,FY 2005-06,fleet,1,liquified petroleum gas,2028.54588,123.4551703,,
Parks Canada,2005,FY 2005-06,fleet,1,Natural gas,0.382052,0.021796067,,
Public Health Agency of Canada,2005,FY 2005-06,facilities,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",1194.177204,86.55647898,,
Public Health Agency of Canada,2005,FY 2005-06,facilities,1,natural gas,135829.3312,6732.398041,,
Public Health Agency of Canada,2005,FY 2005-06,facilities,2,electricity,63022.11191,352.3767073,,
Public Services and Procurement Canada,2005,FY 2005-06,facilities,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",120136.9833,8566.977462,,
Public Services and Procurement Canada,2005,FY 2005-06,facilities,1,liquified petroleum gas,6996.884916,426.9155828,,
Public Services and Procurement Canada,2005,FY 2005-06,facilities,1,natural gas,972531.5065,48333.63686,,
Public Services and Procurement Canada,2005,FY 2005-06,facilities,2,district energy,1125109.796,79565.41708,,
Public Services and Procurement Canada,2005,FY 2005-06,facilities,2,electricity,3169262.412,141423.638,,
Public Services and Procurement Canada,2005,FY 2005-06,fleet,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",1543.32531,109.5637445,,
Public Services and Procurement Canada,2005,FY 2005-06,fleet,1,fuels with renewable content,408.036702,25.21464202,,
Public Services and Procurement Canada,2005,FY 2005-06,fleet,1,gasoline,22079.77858,1354.482116,,
Public Services and Procurement Canada,2005,FY 2005-06,fleet,1,liquified petroleum gas,64.03040934,3.896823418,,
Public Services and Procurement Canada,2005,FY 2005-06,fleet,1,Natural gas,0.041071661,0.002343138,,
Royal Canadian Mounted Police,2005,FY 2005-06,facilities,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",149537.0316,10891.58742,,
Royal Canadian Mounted Police,2005,FY 2005-06,facilities,1,liquified petroleum gas,25178.76677,1536.284666,,
Royal Canadian Mounted Police,2005,FY 2005-06,facilities,1,Natural gas,879712.9501,43961.08573,,
Royal Canadian Mounted Police,2005,FY 2005-06,facilities,2,electricity,475040.4336,46446.48811,,
Royal Canadian Mounted Police,2005,FY 2005-06,fleet,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",1083.951069,77.50545073,,
Royal Canadian Mounted Police,2005,FY 2005-06,fleet,1,fuels with renewable content,2935.427353,179.4859826,,
Royal Canadian Mounted Police,2005,FY 2005-06,fleet,1,gasoline,155498.146,10292.86368,,
Royal Canadian Mounted Police,2005,FY 2005-06,fleet,1,liquified petroleum gas,29.62241966,1.802788727,,
Royal Canadian Mounted Police,2005,FY 2005-06,fleet,1,Natural gas,0.116658386,0.006610134,,
Shared Services Canada,2005,FY 2005-06,fleet,1,gasoline,3158.68721,209.0825787,,
Transport Canada,2005,FY 2005-06,facilities,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",23449.1237,1686.603991,,
Transport Canada,2005,FY 2005-06,facilities,1,liquified petroleum gas,3694.754046,225.4357748,,
Transport Canada,2005,FY 2005-06,facilities,1,natural gas,18449.41938,918.0805844,,
Transport Canada,2005,FY 2005-06,facilities,2,electricity,98929.16996,2613.647748,,
Transport Canada,2005,FY 2005-06,fleet,1,aviation fuel,196710.3931,13580.84617,,
Transport Canada,2005,FY 2005-06,fleet,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",574779.8274,40591.25186,,
Transport Canada,2005,FY 2005-06,fleet,1,fuels with renewable content,94.241785,1.3248213,,
Transport Canada,2005,FY 2005-06,fleet,1,gasoline,28914.86297,1757.164149,,
Transport Canada,2005,FY 2005-06,fleet,1,liquified petroleum gas,2032.81302,123.714864,,
Transport Canada,2005,FY 2005-06,fleet,1,Natural gas,0.0398145,0.002271417,,
Agriculture and Agri-Food Canada,2010,FY 2010-11,facilities,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",43348.97408,3085.821299,21964007.22,1275816.59
Agriculture and Agri-Food Canada,2010,FY 2010-11,facilities,1,Liquified petroleum gas,1041.673546,63.5457904,,
Agriculture and Agri-Food Canada,2010,FY 2010-11,facilities,1,natural gas,487357.7284,24291.45813,,
Agriculture and Agri-Food Canada,2010,FY 2010-11,facilities,2,district energy,121579.1206,9297.939279,,
Agriculture and Agri-Food Canada,2010,FY 2010-11,facilities,2,electricity,469326.7928,46228.79886,,
Agriculture and Agri-Food Canada,2010,FY 2010-11,fleet,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",42780.6021,3017.765362,,
Agriculture and Agri-Food Canada,2010,FY 2010-11,fleet,1,Fuels with renewable content,17497.65114,843.4562475,,
Agriculture and Agri-Food Canada,2010,FY 2010-11,fleet,1,Gasoline,40747.665,2611.819489,,
Agriculture and Agri-Food Canada,2010,FY 2010-11,fleet,1,Natural gas,0.029108,0.001660611,,
Canada Border Services Agency,2010,FY 2010-11,facilities,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",9921.7929,706.869174,,
Canada Border Services Agency,2010,FY 2010-11,facilities,1,Liquified petroleum gas,2778.86083,169.520392,,
Canada Border Services Agency,2010,FY 2010-11,facilities,1,natural gas,41956.2986,2091.23527,,
Canada Border Services Agency,2010,FY 2010-11,facilities,2,electricity,104926.9932,5157.514731,,
Canada Border Services Agency,2010,FY 2010-11,fleet,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",4263.8241,303.9798669,,
Canada Border Services Agency,2010,FY 2010-11,fleet,1,Fuels with renewable content,6681.681971,207.1712412,,
Canada Border Services Agency,2010,FY 2010-11,fleet,1,Gasoline,54108.425,3467.577065,,
Canada Revenue Agency,2010,FY 2010-11,fleet,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",821.2286,58.72007487,,
Canada Revenue Agency,2010,FY 2010-11,fleet,1,Fuels with renewable content,1001.07061,61.2955805,,
Canada Revenue Agency,2010,FY 2010-11,fleet,1,Gasoline,3925.495,251.568151,,
Employment and Social Development Canada,2010,FY 2010-11,fleet,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",217.97093,15.56466528,,
Employment and Social Development Canada,2010,FY 2010-11,fleet,1,Fuels with renewable content,473.14837,28.97372835,,
Employment and Social Development Canada,2010,FY 2010-11,fleet,1,Gasoline,13930.14,892.722972,,
Employment and Social Development Canada,2010,FY 2010-11,fleet,1,Liquified petroleum gas,1.7717,0.1078238,,
Employment and Social Development Canada,2010,FY 2010-11,fleet,1,Natural gas,0.005092,0.000290499,,
Environment and Climate Change Canada,2010,FY 2010-11,facilities,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",21414.4109,1565.5444,,
Environment and Climate Change Canada,2010,FY 2010-11,facilities,1,Liquified petroleum gas,1627.88858,99.306992,,
Environment and Climate Change Canada,2010,FY 2010-11,facilities,1,natural gas,203742.1137,10155.15449,,
Environment and Climate Change Canada,2010,FY 2010-11,facilities,2,electricity,140449.7124,4753.693988,,
Environment and Climate Change Canada,2010,FY 2010-11,fleet,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",7151.683081,509.6449396,,
Environment and Climate Change Canada,2010,FY 2010-11,fleet,1,Fuels with renewable content,5340.223528,327.3248192,,
Environment and Climate Change Canada,2010,FY 2010-11,fleet,1,Gasoline,49709.492,3186.645318,,
Environment and Climate Change Canada,2010,FY 2010-11,fleet,1,Liquified petroleum gas,4.651978,0.283114492,,
Environment and Climate Change Canada,2010,FY 2010-11,fleet,1,Natural gas,0.005225,0.000298086,,
Fisheries and Oceans Canada,2010,FY 2010-11,facilities,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",79367.845,5687.321867,,
Fisheries and Oceans Canada,2010,FY 2010-11,facilities,1,Liquified petroleum gas,9789.821946,597.2139504,,
Fisheries and Oceans Canada,2010,FY 2010-11,facilities,1,natural gas,106470.3018,5306.818231,,
Fisheries and Oceans Canada,2010,FY 2010-11,facilities,2,district energy,28618,1688.462,,
Fisheries and Oceans Canada,2010,FY 2010-11,facilities,2,electricity,295790.3964,17620.04366,,
Fisheries and Oceans Canada,2010,FY 2010-11,fleet,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",22648.5518,1619.432954,,
Fisheries and Oceans Canada,2010,FY 2010-11,fleet,1,Fuels with renewable content,3951.24253,240.7173745,,
Fisheries and Oceans Canada,2010,FY 2010-11,fleet,1,Gasoline,107248.19,6873.076862,,
Fisheries and Oceans Canada,2010,FY 2010-11,fleet,1,Liquified petroleum gas,29.46084,1.79295576,,
Health Canada,2010,FY 2010-11,fleet,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",107.76854,7.705743245,,
Health Canada,2010,FY 2010-11,fleet,1,Fuels with renewable content,3805.391824,222.0361999,,
Health Canada,2010,FY 2010-11,fleet,1,Gasoline,32232.0075,2065.611224,,
Health Canada,2010,FY 2010-11,fleet,1,Natural gas,0.0047576,0.000271421,,
"Immigration, Refugees and Citizenship Canada",2010,FY 2010-11,fleet,1,Fuels with renewable content,230.1835644,14.1148888,,
"Immigration, Refugees and Citizenship Canada",2010,FY 2010-11,fleet,1,Gasoline,1072.96224,68.76155155,,
Indigenous and Northern Affairs Canada,2010,FY 2010-11,fleet,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",926.15145,66.22234355,,
Indigenous and Northern Affairs Canada,2010,FY 2010-11,fleet,1,Fuels with renewable content,598.050209,9.368923095,,
Indigenous and Northern Affairs Canada,2010,FY 2010-11,fleet,1,Gasoline,7457.6075,477.9261035,,
"Innovation, Science and Economic Development Canada",2010,FY 2010-11,fleet,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",2918.92726,208.7112252,,
"Innovation, Science and Economic Development Canada",2010,FY 2010-11,fleet,1,Fuels with renewable content,2182.95401,133.0924653,,
"Innovation, Science and Economic Development Canada",2010,FY 2010-11,fleet,1,Gasoline,16174.7985,1036.573515,,
"Innovation, Science and Economic Development Canada",2010,FY 2010-11,fleet,1,Natural gas,0.017423,0.000993982,,
National Defence,2010,FY 2010-11,facilities,1,aviation fuel,296126.8869,20142.96257,,
National Defence,2010,FY 2010-11,facilities,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",1286326.153,94489.4614,,
National Defence,2010,FY 2010-11,facilities,1,Gasoline,0.5299,0.03518536,,
National Defence,2010,FY 2010-11,facilities,1,Liquified petroleum gas,41090.94673,2506.693866,,
National Defence,2010,FY 2010-11,facilities,1,natural gas,6117251.179,304903.241,,
National Defence,2010,FY 2010-11,facilities,2,district energy,47393.22,3915.478509,,
National Defence,2010,FY 2010-11,facilities,2,electricity,3669229.178,293815.5052,,
National Defence,2010,FY 2010-11,fleet,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",295206.1647,20885.46075,,
National Defence,2010,FY 2010-11,fleet,1,Fuels with renewable content,199445.536,12224.55226,,
National Defence,2010,FY 2010-11,fleet,1,Gasoline,208471.34,13360.20081,,
National Defence,2010,FY 2010-11,fleet,1,Liquified petroleum gas,18.90657,1.15063398,,
National Defence,2010,FY 2010-11,fleet,1,Natural gas,0.00323,0.000184272,,
Natural Resources Canada,2010,FY 2010-11,facilities,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",4066.65036,290.7753036,,
Natural Resources Canada,2010,FY 2010-11,facilities,1,Liquified petroleum gas,3211.38342,195.905808,,
Natural Resources Canada,2010,FY 2010-11,facilities,1,natural gas,140140.9345,6985.069577,,
Natural Resources Canada,2010,FY 2010-11,facilities,2,district energy,132582.74,10534.38997,,
Natural Resources Canada,2010,FY 2010-11,facilities,2,electricity,200982.5374,12048.06113,,
Natural Resources Canada,2010,FY 2010-11,fleet,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",2685.196557,191.5264206,,
Natural Resources Canada,2010,FY 2010-11,fleet,1,Fuels with renewable content,2592.374277,40.77739004,,
Natural Resources Canada,2010,FY 2010-11,fleet,1,Gasoline,15061.291,965.2135918,,
Natural Resources Canada,2010,FY 2010-11,fleet,1,Natural gas,0.002907,0.000165844,,
Parks Canada,2010,FY 2010-11,facilities,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",76300.8271,5469.099488,,
Parks Canada,2010,FY 2010-11,facilities,1,Liquified petroleum gas,48818.76323,2978.118152,,
Parks Canada,2010,FY 2010-11,facilities,1,natural gas,81983.87234,4086.336763,,
Parks Canada,2010,FY 2010-11,facilities,2,electricity,170120.3976,12915.41248,,
Parks Canada,2010,FY 2010-11,fleet,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",76574.4542,5354.285999,,
Parks Canada,2010,FY 2010-11,fleet,1,Fuels with renewable content,29926.68696,1835.108687,,
Parks Canada,2010,FY 2010-11,fleet,1,Gasoline,79374.47,5082.009606,,
Parks Canada,2010,FY 2010-11,fleet,1,Liquified petroleum gas,614.14715,37.3763501,,
Parks Canada,2010,FY 2010-11,fleet,1,Natural gas,0.460864,0.026292291,,
Public Services and Procurement Canada,2010,FY 2010-11,facilities,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",79986.6496,5693.935681,,
Public Services and Procurement Canada,2010,FY 2010-11,facilities,1,Liquified petroleum gas,4662.465958,284.4270027,,
Public Services and Procurement Canada,2010,FY 2010-11,facilities,1,natural gas,1004604.676,50072.68996,,
Public Services and Procurement Canada,2010,FY 2010-11,facilities,2,district energy,1015560.79,70973.32728,,
Public Services and Procurement Canada,2010,FY 2010-11,facilities,2,electricity,3180126.434,91503.9979,,
Public Services and Procurement Canada,2010,FY 2010-11,fleet,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",4434.112794,316.6233218,,
Public Services and Procurement Canada,2010,FY 2010-11,fleet,1,Fuels with renewable content,1699.380803,104.0006371,,
Public Services and Procurement Canada,2010,FY 2010-11,fleet,1,Gasoline,12746.37525,816.9804658,,
Public Services and Procurement Canada,2010,FY 2010-11,fleet,1,Natural gas,0.0010678,0.0000609,,
Transport Canada,2010,FY 2010-11,facilities,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",21241.4471,1520.833534,,
Transport Canada,2010,FY 2010-11,facilities,1,Liquified petroleum gas,2476.63412,151.083488,,
Transport Canada,2010,FY 2010-11,facilities,1,natural gas,2554.4289,127.320855,,
Transport Canada,2010,FY 2010-11,facilities,2,electricity,55260.4248,255.8242574,,
Transport Canada,2010,FY 2010-11,fleet,1,aviation fuel,152874.6709,10547.50791,,
Transport Canada,2010,FY 2010-11,fleet,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",553626.4537,39095.47589,,
Transport Canada,2010,FY 2010-11,fleet,1,Fuels with renewable content,2686.654623,162.6550235,,
Transport Canada,2010,FY 2010-11,fleet,1,Gasoline,22231.01055,1424.76211,,
Transport Canada,2010,FY 2010-11,fleet,1,Liquified petroleum gas,1887.6198,114.8785572,,
